                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3409,                 2.8559,                  1.126,                0.86863,                0.84349,                0.92258,                0.74074,                0.78386,                0.82033,                0.91493,             5.9597e-05,             5.9597e-05,             5.9597e-05
                      2,                0.77669,                0.80831,                0.90821,                0.93887,                0.93787,                0.98249,                0.82025,                0.68658,                0.52701,                0.89782,             0.00011533,             0.00011533,             0.00011533
                      3,                0.70332,                0.59108,                 0.8931,                0.96464,                0.94529,                0.98493,                0.85039,                0.60227,                0.42347,                 0.8738,             0.00016712,             0.00016712,             0.00016712
                      4,                0.64765,                0.49951,                0.87872,                0.94732,                0.93632,                0.98237,                0.85312,                0.58018,                0.41096,                0.86523,             0.00016128,             0.00016128,             0.00016128
                      5,                0.61225,                0.45231,                0.86678,                0.96392,                0.95919,                0.98742,                0.86756,                0.55623,                0.35968,                0.85536,             0.00016128,             0.00016128,             0.00016128
                      6,                0.58828,                0.42228,                0.86089,                0.97531,                0.96696,                0.98922,                0.87577,                0.53093,                0.32218,                0.84644,             0.00015537,             0.00015537,             0.00015537
                      7,                0.56602,                0.39979,                0.85604,                0.96825,                0.97102,                0.98941,                0.87315,                0.53618,                0.31764,                0.85146,             0.00014946,             0.00014946,             0.00014946
                      8,                0.54901,                0.38197,                0.85018,                0.97775,                0.96889,                0.99174,                 0.8764,                0.53522,                0.30954,                0.84934,             0.00014356,             0.00014356,             0.00014356
                      9,                0.53747,                0.36874,                0.84967,                0.96539,                0.96572,                0.98969,                0.89062,                 0.4895,                0.29736,                0.83783,             0.00013765,             0.00013765,             0.00013765
                     10,                0.51293,                0.34733,                0.84104,                0.97653,                0.96639,                0.99035,                0.88739,                0.50658,                0.29105,                0.84479,             0.00013174,             0.00013174,             0.00013174
                     11,                 0.4988,                0.33323,                0.83705,                0.97529,                0.96915,                0.99095,                0.88718,                 0.5144,                0.28372,                0.84875,             0.00012584,             0.00012584,             0.00012584
                     12,                0.49025,                0.32572,                0.83495,                0.96734,                0.97181,                0.99028,                0.89121,                0.49839,                0.28934,                0.84188,             0.00011993,             0.00011993,             0.00011993
                     13,                0.48918,                0.31643,                0.83551,                 0.9712,                0.97258,                0.99152,                0.89525,                0.48868,                0.27726,                0.83712,             0.00011402,             0.00011402,             0.00011402
                     14,                0.47821,                0.31075,                 0.8313,                  0.985,                0.98498,                0.99296,                0.89636,                0.48396,                0.25129,                0.83765,             0.00010812,             0.00010812,             0.00010812
                     15,                0.47361,                0.29744,                0.83052,                0.98739,                0.98524,                0.99313,                0.90162,                0.46996,                0.24418,                0.83219,             0.00010221,             0.00010221,             0.00010221
                     16,                 0.4629,                0.29088,                 0.8281,                0.98549,                0.98392,                0.99329,                0.90517,                0.46248,                0.23651,                0.82922,             9.6302e-05,             9.6302e-05,             9.6302e-05
                     17,                0.45779,                0.28451,                0.82637,                0.98034,                0.97778,                0.99305,                0.90158,                0.47624,                0.24599,                0.83584,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     18,                0.44929,                0.27904,                0.82444,                 0.9847,                 0.9825,                0.99326,                0.90626,                0.46476,                0.23684,                0.83024,             8.4488e-05,             8.4488e-05,             8.4488e-05
                     19,                0.43782,                 0.2678,                0.82142,                0.98901,                 0.9879,                0.99368,                0.90803,                   0.46,                0.22555,                0.83109,             7.8581e-05,             7.8581e-05,             7.8581e-05
                     20,                  0.435,                0.26568,                0.82477,                0.98734,                0.98425,                0.99374,                0.90533,                0.46867,                0.22654,                0.83441,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     21,                0.41019,                0.22102,                0.81756,                0.98419,                0.98188,                0.99309,                0.91217,                0.45113,                0.22968,                0.82846,             6.6767e-05,             6.6767e-05,             6.6767e-05
                     22,                 0.4054,                0.21376,                0.81823,                0.98678,                0.98353,                0.99314,                0.91021,                0.45922,                0.22994,                 0.8314,              6.086e-05,              6.086e-05,              6.086e-05
                     23,                0.40021,                 0.2079,                0.81702,                0.98433,                0.98342,                0.99344,                0.91764,                0.43987,                0.22126,                0.82424,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     24,                0.39003,                0.20237,                 0.8144,                0.98385,                0.98225,                0.99322,                0.90963,                0.46074,                 0.2273,                 0.8337,             4.9046e-05,             4.9046e-05,             4.9046e-05
                     25,                 0.3851,                 0.1993,                0.80989,                0.98583,                0.98525,                 0.9934,                0.91324,                0.44981,                0.21936,                0.82823,             4.3139e-05,             4.3139e-05,             4.3139e-05
                     26,                0.38112,                0.19601,                0.81251,                0.98326,                0.98712,                0.99339,                0.91924,                0.44319,                0.21646,                0.82525,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     27,                0.37366,                0.19059,                0.80889,                0.98908,                 0.9802,                0.99362,                0.91715,                0.44548,                0.21798,                0.82847,             3.1325e-05,             3.1325e-05,             3.1325e-05
                     28,                0.36769,                 0.1872,                0.80697,                0.98605,                0.98378,                 0.9935,                0.92039,                0.43751,                0.21282,                0.82502,             2.5418e-05,             2.5418e-05,             2.5418e-05
                     29,                 0.3608,                0.18248,                0.80457,                0.98816,                0.98233,                0.99335,                0.92075,                0.43544,                0.21425,                0.82307,             1.9511e-05,             1.9511e-05,             1.9511e-05
                     30,                0.35656,                0.18007,                0.80453,                0.98796,                0.98496,                0.99344,                0.92258,                0.43381,                0.20975,                0.82251,             1.3604e-05,             1.3604e-05,             1.3604e-05
